user_id,rank,artist_name,playcount,mbid
2,37,Belle and Sebastian,486,e5c7b94f-e264-473c-bb0f-37c85d4d5c70
2,38,Set Your Goals,484,03d8f83e-a647-4bde-968a-189c0f147783
2,39,First Aid Kit,469,373faa02-74d7-4b1d-9b47-7574ad510f8d
2,40,The Wonder Years,469,ae13e1fc-a2b1-4e3c-bfb9-737d3aeb7dab
2,41,Balance and Composure,459,0d20c42d-133c-429d-8f76-3c2458aee3e8
2,42,The Used,449,
2,43,Drug Church,441,32d2897c-4c91-46db-8161-f51d3f4f0d93
2,44,Four Year Strong,441,c0a138e2-cef7-471b-8fbb-524e1076256a
2,45,Finch,439,
2,46,Phoebe Bridgers,438,96855c21-b832-4366-ba12-0d2330c36a86
2,47,NOFX,435,dcaa4f81-bfb7-44eb-8594-4e74f004b6e4
2,48,Saosin,430,47b8b42a-96e8-46fa-9ea6-70c5136ae971
2,49,Sherwood,425,
2,50,Paint It Black,423,90910a44-7579-4730-9499-0546159fe4e3
3,1,The Magnetic Fields,5538,3ff72a59-f39d-411d-9f93-2d4a86413013
3,2,Fangoria,4377,0579e174-f377-4fbb-a3bf-db7ddc7aabb1
3,3,Madonna,4246,79239441-bfd5-4981-a70c-55c3f15c1287
3,4,Pet Shop Boys,3393,be540c02-7898-4b79-9acc-c8122c7d9e83
3,5,Charli xcx,2044,260b6184-8828-48eb-945c-bc4cb6fc34ca
3,6,Hot Chip,1896,d8915e13-d67a-4aa0-9c0b-1f126af951af
3,7,Shakira,1750,bf24ca37-25f4-4e34-9aec-460b94364cfc
3,8,La Casa Azul,1748,3442b704-fca2-4eb1-8a7f-c847ccbe7a44
3,9,Sen Senra,1735,14e3ab81-da70-4cb7-b73e-c50aeee3fa46
3,10,Los Punsetes,1697,e8ecd214-1ff2-4e4f-ba01-fc6d24555852
3,11,Coldplay,1609,cc197bad-dc9c-440d-a5b5-d52ba2e14234
3,12,Bad Gyal,1601,9cb2e99f-d0ba-4aa5-a371-0006b0d34090
3,13,La Prohibida,1458,8641aa1e-9e72-43cf-a967-ce75a0fb77b9
3,14,The Drums,1436,
3,15,Ellos,1400,0fed08f1-efd7-41d4-81d2-773da6d2630b
3,16,Polo & Pan,1380,1d9ec7ea-0fa4-41d9-917b-723c735ebbfe
3,17,Phoenix,1360,
3,18,Rufus Wainwright,1357,78e46ae5-9bfd-433b-be3f-19e993d67ecc
3,19,The Hidden Cameras,1334,cf998a99-5b7e-4342-b372-9c5d45c2ca62
3,20,Vampire Weekend,1288,af37c51c-0790-4a29-b995-456f98a6b8c9
3,21,Garbage,1207,f9ef7a22-4262-4596-a2a8-1d19345b8e50
3,22,C. Tangana,1178,46d3689c-23e6-46f7-8ad6-c12f13ac9dea
3,23,La Oreja de Van Gogh,1127,a7c38944-b3fa-4a3d-a4bd-d3b3b06f0cbf
3,24,Amy Winehouse,1121,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3
3,25,Belle & Sebastian,1104,e5c7b94f-e264-473c-bb0f-37c85d4d5c70
3,26,Vive La Fête,1102,ef6a8aab-9dfe-46ac-a225-67df4601ad69
3,27,The Smiths,1090,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27
3,28,Algora,1060,d0b806de-ec51-46e5-9a79-d14d9516c692
3,29,Belle and Sebastian,1047,e5c7b94f-e264-473c-bb0f-37c85d4d5c70
3,30,Carlos Berlanga,1006,a65eea73-f2a8-4964-aba3-d0ee5edf2028
3,31,The White Stripes,995,11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5
3,32,Franz Ferdinand,994,
3,33,Dover,974,91d953d7-ea0b-4c8e-b9ed-456712cbf5fc
3,34,Yelle,940,f43d43c8-eedf-4628-99b0-04120e7124c8
3,35,Astrud,934,333108c3-f3e7-4cc3-9e84-68acdafb0679
3,36,Hidrogenesse,933,2241451c-99c3-41f1-9e2c-f4bfa37c02fe
3,37,ROSALÍA,908,25f3abd9-63b5-471a-bd25-feb9672dfa11
3,38,Klaus & Kinski,897,195e88e9-2fd2-45fb-abdb-0b224e25f27c
3,39,The Strokes,887,f181961b-20f7-459e-89de-920ef03c7ed0
3,40,Miranda!,868,226ab2f2-592b-4323-94f9-5b3f0ef86158
3,41,Patrick Wolf,859,4ac4e32b-bd18-402e-adad-ae00e72f8d85
3,42,Guitarricadelafuente,852,68416724-6cc4-41ee-b81c-1ce169c00f03
3,43,Arctic Monkeys,835,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a
3,44,CHVRCHES,829,6a93afbb-257f-4166-b389-9f2a1e5c5df8
3,45,The Vaccines,825,aa76ec08-45ab-4724-9411-d80b0e59ac59
3,46,Eddy De Pretto,816,f7431a56-ef33-4d93-9676-4492f9fb18cb
3,47,Chico y Chica,811,4a68b1fc-70cb-4156-ae48-ba3069355fc8
3,48,LCD Soundsystem,809,2aaf7396-6ab8-40f3-9776-a41c42c8e26b
3,49,Sidonie,809,99849c03-4d4a-46cc-8e20-3852d0ca0746
3,50,The Cardigans,800,3e55d51d-687f-4a9d-af96-2fabccf802e5
4,1,Rihanna,5760,73e5e69d-3554-40d8-8516-00cb38737a1c
4,2,Darin,5004,0fd3616c-36b2-44af-8b05-7d5675ed7267
4,3,Lady Gaga,3555,650e7db6-b795-4eb5-a702-5ea2fc46c848
4,4,Britney Spears,3331,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76
4,5,McFly,2596,
4,6,Jonas Brothers,2219,6e019bc6-5c23-4935-94f0-4a896631d846
4,7,Chris Brown,1605,
4,8,Christina Aguilera,1239,b202beb7-99bd-47e7-8b72-195c8d72ebdd
4,9,Maroon 5,1232,0ab49580-c84f-44d4-875f-d83760ea2cfe
4,10,Katy Perry,1207,122d63fc-8671-43e4-9752-34e846d62a9c
4,11,Justin Timberlake,1110,596ffa74-3d08-44ef-b113-765d43d12738
4,12,Adam Lambert,1030,e942594a-91cc-427a-8beb-6815c28e9254
4,13,Leona Lewis,953,8d552dfc-648f-401f-90de-e925013ca537
4,14,Miley Cyrus,914,7e9bd05a-117f-4cce-87bc-e011527a8b18
4,15,Kris Allen,839,9ce29a24-b118-41a3-9297-2618f26b124d
4,16,נינט טייב,802,
4,17,Glee Cast,795,29542149-a818-4167-aa91-439adc9d61f5
4,18,אביתר בנאי,752,f0bdaa19-6f9f-42f3-b392-7782b24725b5
4,19,Jordin Sparks,693,5508631d-697f-4839-a669-06637e5bcb90
4,20,Demi Lovato,665,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b
4,21,Cheryl Cole,631,
4,22,Rita Ora,620,c9dd033c-0270-463c-b3ec-f4b7712486fe
4,23,Ke$ha,601,
4,24,דודו טסה,586,feeb07b4-4cfd-4c47-b985-dc864805f84d
4,25,Pixie Lott,554,77de9077-5074-4a07-9fe7-049414715ea9
4,26,Darin Zanyar,529,0fd3616c-36b2-44af-8b05-7d5675ed7267
4,27,Selena Gomez & the Scene,491,37d0a847-32d3-480f-bd1e-101f50a3d332
4,28,Jason Mraz,485,82eb8936-7bf6-4577-8320-a2639465206d
4,29,Panic! at the Disco,484,b9472588-93f3-4922-a1a2-74082cdf9ce8
4,30,Fergie,449,1c46e82f-4764-4d82-a33b-5d5aee5e2881
4,31,Sterling Knight,409,27cd4bc1-3ca2-4d42-958c-c0bf64b68865
4,32,Ashley Tisdale,400,1fa14a96-c25c-4bb7-b94d-ff453519eab3
4,33,*NSYNC,389,603ba565-3967-4be1-931e-9cb945394e86
4,34,Allison Iraheta,382,0c7f8ad2-fbef-4148-b86d-0ebff49ed36e
4,35,Within Temptation,359,eace2373-31c8-4aba-9a5c-7bce22dd140a
4,36,Lily Allen,348,6e0c7c0e-cba5-4c2c-a652-38f71ef5785d
4,37,David Cook,347,966e1095-b172-415c-bae5-53f8041fd050
4,38,The Veronicas,346,fd1baeb3-0ee9-4838-b4c7-615c78d68d10
4,39,Avril Lavigne,332,0103c1cc-4a09-4a5d-a344-56ad99a77193
4,40,Beyoncé,324,859d0860-d480-4efd-970c-c05d5f1776b8
4,41,דנידין,323,
4,42,שירי מימון,323,f51f06d9-450a-4633-9ca0-a438754d812b
4,43,Justin Bieber,322,e0140a67-e4d1-4f13-8a01-364355bee46e
4,44,Carrie Underwood,307,70f0e309-5418-49b6-a130-666e2f76eecd
4,45,Romeo y Julieta,300,
4,46,Jessie J,284,
4,47,Duffy,276,2c4dae8c-e591-49e0-9c5a-62b310a15788
4,48,Brandy,263,01e60eba-52df-4694-8f09-39f43abe54e9
4,49,Jessica Simpson,259,fe37acd4-893c-4b2c-8ad2-7fd394280354
4,50,Backstreet Boys,248,2f569e60-0a1b-4fb9-95a4-3dc1525d1aad
5,1,Joanna Newsom,3014,cb69e1f1-bc76-4df5-93c9-cf97dd8a3b5c
5,2,M. Ward,1894,655b3e5b-09e4-45dd-941c-6fa3fc12521b
5,3,Bon Iver,1820,437a0e49-c6ae-42f6-a6c1-84f25ed366bc
5,4,Pixies,1411,b6b2bb8d-54a9-491f-9607-7b546023b433
5,5,The Shins,1344,6c8b9855-ba8b-48f9-ac1d-42167f7f7b18
5,6,The Rolling Stones,1241,b071f9fa-14b0-4217-8e97-eb41da73f598
5,7,Arcade Fire,1228,52074ba6-e495-4ef3-9bb4-0703888a9f68
5,8,Sufjan Stevens,1225,01d3c51b-9b98-418a-8d8e-37f6fab59d8c
5,9,Vampire Weekend,1078,af37c51c-0790-4a29-b995-456f98a6b8c9
5,10,Yeah Yeah Yeahs,1069,584c04d2-4acc-491b-8a0a-e63133f4bfc4
5,11,Regina Spektor,1050,fbb375f9-48bb-4635-824e-4120273b3ba7
5,12,Belle and Sebastian,975,e5c7b94f-e264-473c-bb0f-37c85d4d5c70
5,13,Radiohead,960,a74b1b7f-71a5-4011-9441-d0b5e4122711
5,14,The Velvet Underground,925,94b0fb9d-a066-4823-b2ec-af1d324bcfcf
5,15,Friendly Fires,884,ef656595-bbe8-4386-8953-be8df9f54472
5,16,Bob Dylan,851,72c536dc-7137-4477-a521-567eeb840fa8
5,17,Fleet Foxes,839,fa97dd36-1b82-43d7-a6e4-2adeafd59cef
5,18,Foals,823,6a65d878-fcd0-42cf-aff9-ca1d636a8bcc
5,19,Daft Punk,796,056e4f3e-d505-4dad-8ec1-d04f521cbb56
5,20,LCD Soundsystem,724,2aaf7396-6ab8-40f3-9776-a41c42c8e26b
5,21,Cat Power,702,05755bf1-380c-487f-983f-d1a02401fa28
5,22,Florence + the Machine,695,5fee3020-513b-48c2-b1f7-4681b01db0c6
5,23,Jimi Hendrix,689,06fb1c8b-566e-4cb2-985b-b467c90781d4
5,24,Band of Horses,687,07b6020a-c539-4d68-aeef-f159f3befc76
5,25,Little Joy,667,
5,26,Nicolas Jaar,659,06e99a1b-4020-4380-ab27-1a3e0c5e557c
5,27,Sigur Rós,659,f6f2326f-6b25-4170-b89d-e235b25508e8
5,28,Fever Ray,647,f7df5df4-4dfa-459d-972b-1ba051c15ddc
5,29,Kings of Leon,642,6ffb8ea9-2370-44d8-b678-e9237bbd347b
5,30,Stars,624,5aeb21a3-4606-4a0d-8369-50c768d1e99a
5,31,The Strokes,623,f181961b-20f7-459e-89de-920ef03c7ed0
5,32,The Beatles,592,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d
5,33,M.I.A.,577,
5,34,Theophilus London,561,806df23f-ad74-45c1-9c07-f3d1a20748d6
5,35,Beck,555,
5,36,MGMT,548,c485632c-b784-4ee9-8ea1-c5fb365681fc
5,37,Lady Gaga,542,650e7db6-b795-4eb5-a702-5ea2fc46c848
5,38,Passion Pit,535,daeec599-bf5d-4428-994a-e76ba5f86e2f
5,39,Led Zeppelin,514,678d88b2-87b0-403b-b63d-5da7465aecc3
5,40,Bloc Party,513,8c538f11-c141-4588-8ecb-931083524186
5,41,Yeasayer,491,3feba7fa-3837-424a-b4f1-0077d217f569
5,42,Amy Winehouse,488,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3
5,43,The xx,477,c5c2ea1c-4bde-4f4d-bd0b-47b200bf99d6
5,44,Four Tet,455,3bcff06f-675a-451f-9075-99e8657047e8
5,45,She & Him,453,fb821608-35fd-4a45-a4b2-1a0537cee111
5,46,TV on the Radio,451,eb872766-98f6-453d-883f-2ae908a18315
5,47,The Decemberists,446,97b1142f-c71e-4971-8736-4a8ceaf6b4c3
5,48,Justice,445,
5,49,Washed Out,445,74a30f2a-dae6-4e99-8a75-cb0f93b31aa6
5,50,Animal Collective,421,0c751690-c784-4a4f-b1e4-c1de27d47581
6,1,Rihanna,476,73e5e69d-3554-40d8-8516-00cb38737a1c
